Hemisphere,Regression Term,Beta,SE,p.value.FDR,pLabel
LH,(Intercept),-0.27,0.1,0.02,*
LH,EffectS-N,0.22,0.07,0.002,**
LH,EffectH-E,-0.76,0.07,<.001,***
LH,EffectTaskSem>Perc,0.28,0.06,<.001,***
LH,EffectStimTypeSent>Pic,0.18,0.12,0.284,
LH,EffectTask:StimType,0.03,0.12,0.781,
LH,EffectSent_Sem>S,-0.37,0.08,<.001,***
LH,EffectSemTask>WMTask,1.62,0.11,<.001,***
LH,ExperimentE2>E3,-0.15,0.05,<.001,***
LH,EffectS-N:ExperimentE2>E3,0,0.07,1,
LH,EffectH-E:ExperimentE2>E3,0,0.07,1,
LH,EffectTaskSem>Perc:ExperimentE2>E3,-0.09,0.06,0.154,
LH,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.25,0.12,0.069,
LH,EffectTask:StimType:ExperimentE2>E3,-0.11,0.12,0.6,
LH,EffectSent_Sem>S:ExperimentE2>E3,-0.24,0.08,0.002,**
LH,EffectSemTask>WMTask:ExperimentE2>E3,-0.31,0.12,0.008,**
RH,(Intercept),-0.49,0.11,<.001,***
RH,EffectS-N,0.06,0.06,0.321,
RH,EffectH-E,-0.66,0.06,<.001,***
RH,EffectTaskSem>Perc,0,0.06,0.936,
RH,EffectStimTypeSent>Pic,0.04,0.11,0.749,
RH,EffectTask:StimType,-0.05,0.11,0.781,
RH,EffectSent_Sem>S,-0.36,0.07,<.001,***
RH,EffectSemTask>WMTask,1.13,0.1,<.001,***
RH,ExperimentE2>E3,-0.25,0.04,<.001,***
RH,EffectS-N:ExperimentE2>E3,0,0.06,1,
RH,EffectH-E:ExperimentE2>E3,0,0.06,1,
RH,EffectTaskSem>Perc:ExperimentE2>E3,-0.11,0.06,0.128,
RH,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.21,0.11,0.069,
RH,EffectTask:StimType:ExperimentE2>E3,-0.06,0.11,0.6,
RH,EffectSent_Sem>S:ExperimentE2>E3,-0.31,0.07,<.001,***
RH,EffectSemTask>WMTask:ExperimentE2>E3,-0.5,0.11,<.001,***
