subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190611a_3T2,1,1,1,18.026730060577393,Sem-photo,42,A woman is plugging headphones into a Discman.,0,3,"[[0.4666666666666666, 0.7295620604789159, -1.862186671606732], [0.9333333333333332, 1.2479199339607616, 1.5629126138154263], [1.4, 0.7295620604789159, -1.862186671606732]]",0,,,
FED_20190611a_3T2,1,1,1,20.027050018310547,Sem-photo,31,A woman is dipping a tortilla chip in salsa.,1,3,"[[0.4666666666666666, -0.8927042733941606, -1.7897148041695927], [0.9333333333333332, 1.9962906226370396, 0.12175282325852321], [1.4, -1.1035863492428784, 1.6679619809110684]]",1,,,
FED_20190611a_3T2,1,1,1,22.027265071868896,Sem-photo,49,A woman is opening a can.,1,3,"[[0.4666666666666666, 1.3972982949372292, 1.4309288853627604], [0.9333333333333332, -1.937869913201716, 0.49463137739894036], [1.4, 0.5405716182644864, -1.925560262761702]]",1,,,
FED_20190611a_3T2,1,1,1,24.02748703956604,Sem-photo,47,A man is stirring cookie batter.,1,4,"[[0.35, 1.4171975279611995, 0.4914785516588339], [0.7, -1.1342316751323323, 0.9815897855654896], [1.0499999999999998, 1.4171975279611995, 0.4914785516588339], [1.4, -0.28296585282886727, -1.473068337224323]]",1,1,1.4001400470733643,1
FED_20190611a_3T2,1,1,1,26.027640104293823,Sem-photo,55,A man is putting a cheese slice on a cracker.,0,3,"[[0.4666666666666666, -1.987990881301535, -0.21884299363229845], [0.9333333333333332, 0.804471848724963, 1.8310721025150922], [1.4, 1.1835190325765734, -1.6122291088827951]]",0,1,1.3835768699645996,0
FED_20190611a_3T2,1,1,1,28.027913093566895,Sem-photo,40,A woman is putting a pan in the dish rack.,0,4,"[[0.35, 0.06635654833060058, -1.4985315507167838], [0.7, 1.264588117127924, 0.806732231920141], [1.0499999999999998, -1.3309446654585237, 0.6917993187966422], [1.4, 1.264588117127924, 0.806732231920141]]",0,1,1.3502159118652344,0
FED_20190611a_3T2,1,1,1,30.02814817428589,Sem-photo,20,A man is plugging in his laptop.,0,4,"[[0.35, -0.35895035351275373, 1.4564184301611502], [0.7, -1.0818201823030316, -1.0390693399200246], [1.0499999999999998, -0.35895035351275373, 1.4564184301611502], [1.4, -1.0818201823030316, -1.0390693399200246]]",0,1,1.3000538349151611,0
FED_20190611a_3T2,1,1,1,34.02857208251953,Sem-sent,7,A man is eating a piece of salami.,1,3,"[[0.4666666666666666, 1.64428716329274, -1.1385603737311054], [0.9333333333333332, -1.8081657890398117, -0.8547142676626122], [1.4, 0.16387862574707096, 1.993274641393717]]",1,,,
FED_20190611a_3T2,1,1,1,36.028680086135864,Sem-sent,37,A woman is putting mascara on her eyelashes.,0,4,"[[0.35, 1.0973789304993118, -1.0226238227697348], [0.7, 0.33692874378408927, 1.4616699427750697], [1.0499999999999998, -1.4343076742834018, -0.43904612000533494], [1.4, 0.33692874378408927, 1.4616699427750697]]",0,1,1.6669890880584717,0
FED_20190611a_3T2,1,1,1,38.02903509140015,Sem-sent,50,A woman is cutting the birthday cake.,1,3,"[[0.4666666666666666, 0.204761029218256, 1.9894906184532464], [0.9333333333333332, 1.6205689015621965, -1.1720735622346816], [1.4, 0.204761029218256, 1.9894906184532464]]",1,0,1.483464002609253,0
FED_20190611a_3T2,1,1,1,40.02922201156616,Sem-sent,48,A woman is making an apple martini.,1,4,"[[0.35, -1.4507107648540272, 0.3813637066327153], [0.7, 1.0556260404523403, 1.0656705225907837], [1.0499999999999998, 0.39508472440168674, -1.4470342292234981], [1.4, -1.4507107648540272, 0.3813637066327153]]",1,,,
FED_20190611a_3T2,1,1,1,42.02944207191467,Sem-sent,47,A woman is chopping up onions.,1,4,"[[0.35, 1.2684857921362656, -0.8005896546598829], [0.7, -1.327573875010602, -0.698246092999692], [1.0499999999999998, 0.0590880828743376, 1.4988357476595744], [1.4, 1.2684857921362656, -0.8005896546598829]]",1,1,0.03334999084472656,1
FED_20190611a_3T2,1,1,1,44.063003063201904,Sem-sent,39,A woman is connecting a printer to the laptop.,0,4,"[[0.35, 0.7666996801887629, 1.2892523416300041], [0.7, -1.4998751198345388, 0.019355229301869503], [1.0499999999999998, 0.7666996801887629, 1.2892523416300041], [1.4, -1.4998751198345388, 0.019355229301869503]]",0,,,
FED_20190611a_3T2,1,1,1,46.02979612350464,Sem-sent,15,A man is putting a handkerchief in his pocket.,0,3,"[[0.4666666666666666, -1.9994205645740892, -0.048139442853342436], [0.9333333333333332, 1.041400262722067, -1.7074792803435155], [1.4, -1.9994205645740892, -0.048139442853342436]]",0,0,0.1666409969329834,1
FED_20190611a_3T2,1,1,1,50.030364990234375,Perc-photo,91,A woman is putting away orange juice.,0,4,"[[0.35, 0.90893616064319, 1.1932455974673517], [0.7, -1.487849080682262, 0.19053900680162117], [1.0499999999999998, 0.90893616064319, 1.1932455974673517], [1.4, -1.487849080682262, 0.19053900680162117]]",0,,,
FED_20190611a_3T2,1,1,1,52.030572175979614,Perc-photo,58,A woman is eating some toast.,1,4,"[[0.35, 1.3990086238291708, 0.5410867494696299], [0.7, -0.23090944122273882, -1.4821203830843845], [1.0499999999999998, 1.3990086238291708, 0.5410867494696299], [1.4, -1.168099182606432, 0.9410336336147532]]",0,,,
FED_20190611a_3T2,1,1,1,54.0307891368866,Perc-photo,90,A woman is taking some notes.,1,3,"[[0.4666666666666666, 1.9283489584739215, 0.5305377407428634], [0.9333333333333332, -1.4236336403866843, 1.4047303150282466], [1.4, -0.5047153180872374, -1.9352680557711117]]",1,,,
FED_20190611a_3T2,1,1,1,56.031010150909424,Perc-photo,99,A woman is playing a violin.,0,3,"[[0.4666666666666666, -0.44603883678657014, -1.94962800453781], [0.9333333333333332, 1.9114467982525913, 0.5885330385372748], [1.4, -0.44603883678657014, -1.94962800453781]]",1,1,1.1834378242492676,1
