subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190611c_3T2,1,1,1,18.02726697921753,Sem-photo,39,A woman is hanging up a sweater.,0,3,"[[0.4666666666666666, -0.9433425405532675, 1.7635489364297512], [0.9333333333333332, 1.9989494500418263, -0.06481586362519429], [1.4, -0.9433425405532675, 1.7635489364297512]]",0,,,
FED_20190611c_3T2,1,1,1,20.027423858642578,Sem-photo,41,A woman is plugging a power cord into a power outlet.,0,3,"[[0.4666666666666666, -1.5944840476348376, 1.207319602192404], [0.9333333333333332, -0.24832742216812312, -1.9845234922770087], [1.4, 1.842811469802963, 0.7772038900846056]]",0,,,
FED_20190611c_3T2,1,1,1,22.027777910232544,Sem-photo,29,A man is putting a banana in the blender.,1,3,"[[0.4666666666666666, 1.363791058520067, 1.46289915876], [0.9333333333333332, 0.5850123054010106, -1.912527281512448], [1.4, 1.363791058520067, 1.46289915876]]",1,1,0.20003795623779297,1
FED_20190611c_3T2,1,1,1,24.061417818069458,Sem-photo,28,A man is screwing in a screw.,0,4,"[[0.35, -0.4967320275775058, 1.4153647207623694], [0.7, 1.4741078175892328, -0.27749980562571397], [1.0499999999999998, -0.4967320275775058, 1.4153647207623694], [1.4, -0.9773757900117278, -1.1378649151366567]]",0,,,
FED_20190611c_3T2,1,1,1,26.028302907943726,Sem-photo,16,A man is putting sunglasses on his head.,0,3,"[[0.4666666666666666, -0.1300287690667738, 1.9957686537309327], [0.9333333333333332, 1.793400738741044, -0.8852761096308188], [1.4, -0.1300287690667738, 1.9957686537309327]]",0,,,
FED_20190611c_3T2,1,1,1,28.028543949127197,Sem-photo,11,A man is stapling a flyer to the wall.,1,4,"[[0.35, -1.4934735724834383, 0.1397737038700635], [0.7, 0.867784364574238, 1.2234992017163258], [1.0499999999999998, -1.4934735724834383, 0.1397737038700635], [1.4, 0.867784364574238, 1.2234992017163258]]",1,1,0.21665501594543457,1
FED_20190611c_3T2,1,1,1,30.028843879699707,Sem-photo,47,A man is stirring cookie batter.,1,3,"[[0.4666666666666666, 0.500745971135581, 1.93629891091006], [0.9333333333333332, 1.4265110606004638, -1.4018081873011512], [1.4, 0.500745971135581, 1.93629891091006]]",1,0,1.4001481533050537,0
FED_20190611c_3T2,1,1,1,34.02933692932129,Sem-sent,46,A woman is measuring the length of the table.,0,4,"[[0.35, 1.4992995714219217, -0.045834431752142656], [0.7, -0.7893435679763412, -1.275514300858434], [1.0499999999999998, 1.4992995714219217, -0.045834431752142656], [1.4, -0.7099560034455815, 1.3213487326105768]]",0,,,
FED_20190611c_3T2,1,1,1,36.02955603599548,Sem-sent,35,A woman is stirring the soup using a ladle.,0,3,"[[0.4666666666666666, -1.3723778681940382, 1.4548467228169388], [0.9333333333333332, -0.573745286474988, -1.9159374588560385], [1.4, 1.9461231546690263, 0.461090736039098]]",0,0,0.7833759784698486,1
FED_20190611c_3T2,1,1,1,38.029841899871826,Sem-sent,23,A woman is grilling a steak.,1,3,"[[0.4666666666666666, -0.9195790030767566, -1.7760558710525856], [0.9333333333333332, -1.0783200013336607, 1.684406712977532], [1.4, -0.9195790030767566, -1.7760558710525856]]",1,0,0.2500309944152832,0
