subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160804a_3T1,1,2,2,18.01774311,Perc-photo,71,A man is blowing his nose.,1,4,"[[0.35, 1.1587255354196033, -2.31771367099032], [0.7, -2.2198024142198602, 0.13334037742537175], [1.0499999999999998, 1.388569320637988, -2.7774533305637195], [1.4, -2.3784568606459366, 0.14287052462727995]]",0,0,1.966307878,1
FED_20160804a_3T1,1,2,2,20.01789403,Perc-photo,75,A woman is brushing her hair.,0,6,"[[0.2333333333333333, 2.568358507576793, -0.16952750209101008], [0.4666666666666666, -1.3865205570161152, -2.073006523982586], [0.7, -1.4890262696624756, 3.022956729952778], [0.9333333333333332, -1.1955065935676856, -1.787418841638715], [1.1666666666666665, 3.325805769233481, -0.21952369298707197], [1.4, -1.456050171603593, 2.956010081941472]]",0,0,1.965195894,1
FED_20160804a_3T1,1,2,2,22.01704693,Perc-photo,92,A woman is hanging a sweater on a chair.,0,6,"[[0.2333333333333333, 1.6433983971901145, 1.843498158921502], [0.4666666666666666, 1.0416459258147857, -3.1525280473106267], [0.7, 1.497039988162687, 1.679319188048665], [0.9333333333333332, -2.7364540554268992, 0.5674701850936922], [1.1666666666666665, 0.8490488760402412, -2.5696355440172454], [1.4, 2.2854434580132987, 2.5637184594864295]]",0,1,1.849148989,0
FED_20160804a_3T1,1,2,2,24.03252411,Perc-photo,93,A woman is throwing away trash.,0,5,"[[0.27999999999999997, -2.588576618115992, 0.44792266668333897], [0.5599999999999999, 0.7889801072933548, -2.146367114048686], [0.8399999999999999, -2.953637053966144, 0.5110920713601045], [1.1199999999999999, 1.6517711503739636, 1.98131129463764], [1.4, -2.1819701300297787, 0.37756420745918057]]",1,1,1.899834871,1
FED_20160804a_3T1,1,2,2,26.03142905,Perc-photo,88,A man is kissing a woman.,0,7,"[[0.19999999999999998, -2.187835122514282, -0.20476589200514775], [0.39999999999999997, 1.0430637852489584, 2.272682149162007], [0.6, 1.8047763072335878, -2.544557577255898], [0.7999999999999999, -2.2669058752113154, -0.2121663551574714], [0.9999999999999999, 1.388918241276219, 3.0262479996278877], [1.2, -2.1608668685220875, -0.20224185418908647], [1.4, 1.0361892473996588, 2.2577035450969523]]",1,,,
FED_20160804a_3T1,1,2,2,28.03128314,Perc-photo,66,A man is drying himself off with a towel.,0,6,"[[0.2333333333333333, 0.7512967393625821, 2.082203350625847], [0.4666666666666666, -2.6012488479394777, -0.4661469436785318], [0.7, 1.3764845356508149, -1.6311789844198814], [0.9333333333333332, 0.9952550606975693, 2.758328784802151], [1.1666666666666665, 2.1217868962659487, -2.514386544103165], [1.4, -2.2020958271936806, -0.39461823898421033]]",0,0,0.083401918,1
FED_20160804a_3T1,1,2,2,30.03085113,Perc-photo,109,A man is washing a wine glass.,0,4,"[[0.35, 0.7747015530583861, -2.0890914074864506], [0.7, 1.4632922929894245, 1.7654501360223174], [1.0499999999999998, 0.8781696390144647, -2.3681076150396354], [1.4, -2.92522023615872, 0.49758013753535313]]",0,0,0.049492836,1
FED_20160804a_3T1,1,2,2,34.02917099,Perc-sent,66,A man is assembling a radio.,0,5,"[[0.27999999999999997, -2.261759692166438, 0.5447337008225336], [0.5599999999999999, 1.9033009743004812, 2.002753026179113], [0.8399999999999999, 0.7111796597574791, -2.407304933930982], [1.1199999999999999, -2.8034965229876403, 0.6752083528146021], [1.4, 1.673254002066475, 1.7606855465602738]]",1,,,
FED_20160804a_3T1,1,2,2,36.02863002,Perc-sent,91,A woman is pouring some milk for the cat.,0,5,"[[0.27999999999999997, 0.9675928996811132, -2.647053037919688], [0.5599999999999999, 2.0751815800332607, 2.480056747406469], [0.8399999999999999, -2.497874416490216, 0.4368846001786343], [1.1199999999999999, 1.6937076249163483, 2.024155892536522], [1.4, -2.9621867628062275, 0.5180940126451352]]",1,0,0.316533089,0
FED_20160804a_3T1,1,2,2,38.02790904,Perc-sent,73,A woman is feeding the ducks some crumbs.,1,4,"[[0.35, -2.0244194409760805, 1.3578635675244197], [0.7, 2.2468607947391463, 1.1030887516705485], [1.0499999999999998, -0.22571349435298504, -3.3527707768522084], [1.4, -1.941338024859137, 1.3021373549618984]]",0,0,0.366700888,1
