subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160711c_3T1,1,1,1,18.02695894,Sem-photo,1,A man is putting a bow on a wrapped gift.,0,4,"[[0.35, -1.2307240458820918, 0.8575070395557198], [0.7, 1.357984903120287, 0.6370847690043959], [1.0499999999999998, -0.12726085723819475, -1.4945918085601164], [1.4, 1.357984903120287, 0.6370847690043959]]",0,0,1.683374166,1
FED_20160711c_3T1,1,1,1,20.02715898,Sem-photo,12,A woman is baking cookies.,1,3,"[[0.4666666666666666, -0.9500268448496787, -1.7599571000637955], [0.9333333333333332, -1.049154135801198, 1.7027259319488974], [1.4, 1.9991809806508776, 0.057231168114898874]]",1,0,1.733509064,0
FED_20160711c_3T1,1,1,1,22.02737808,Sem-photo,53,A man is eating some oatmeal.,1,3,"[[0.4666666666666666, 1.980862276531778, 0.2760156542903711], [0.9333333333333332, -1.2294677067235333, 1.5774692257296103], [1.4, -0.7513945698082451, -1.8534848800199808]]",1,0,1.700207949,0
FED_20160711c_3T1,1,1,1,24.02763009,Sem-photo,33,A man is putting a penny in a change purse.,0,4,"[[0.35, -1.4464104465512628, 0.3973623284955132], [0.7, 0.37907935229157963, -1.4513093552603444], [1.0499999999999998, 1.0673310942596828, 1.0539470267648314], [1.4, 0.37907935229157963, -1.4513093552603444]]",0,1,1.666842937,0
FED_20160711c_3T1,1,1,1,26.02786088,Sem-photo,45,A woman is mixing some paint on a palette.,1,4,"[[0.35, -0.07371449068382849, 1.4981876297257375], [0.7, 1.3343257923199978, -0.685255193303641], [1.0499999999999998, -1.2606113016361693, -0.8129324364220949], [1.4, -0.07371449068382849, 1.4981876297257375]]",1,0,1.333451033,0
FED_20160711c_3T1,1,1,1,28.02809095,Sem-photo,28,A man is screwing in a screw.,0,3,"[[0.4666666666666666, 0.26375732497357085, 1.9825317332952797], [0.9333333333333332, 1.585044182355722, -1.2196864105089802], [1.4, -1.8488015073292932, -0.7628453227862998]]",0,1,1.533430099,0
FED_20160711c_3T1,1,1,1,30.02831793,Sem-photo,10,A man is lighting a candle.,1,3,"[[0.4666666666666666, -0.749425523500072, -1.8542819054088413], [0.9333333333333332, 1.980567997611906, 0.2781194111089069], [1.4, -0.749425523500072, -1.8542819054088413]]",1,0,1.800165176,0
FED_20160711c_3T1,1,1,1,34.02877188,Sem-sent,41,A woman is plugging a hard drive into the computer.,0,3,"[[0.4666666666666666, 0.7441638681821433, -1.8563997784130954], [0.9333333333333332, 1.2356074335944713, 1.5726647036307784], [1.4, 0.7441638681821433, -1.8563997784130954]]",0,1,1.800127029,0
FED_20160711c_3T1,1,1,1,36.0289259,Sem-sent,29,A woman is dissolving some Alka-Seltzer in a glass.,1,3,"[[0.4666666666666666, -1.0007211410770092, 1.7316342563606002], [0.9333333333333332, -0.9992786855331515, -1.7324670584571404], [1.4, -1.0007211410770092, 1.7316342563606002]]",1,0,1.583446026,0
FED_20160711c_3T1,1,1,1,38.02919102,Sem-sent,19,A man is carving a pumpkin using a special knife.,1,4,"[[0.35, -1.482961480655498, -0.22544455391970114], [0.7, 0.9367214511670611, -1.171560038121596], [1.0499999999999998, 0.5462400294884366, 1.3970045920412975], [1.4, 0.9367214511670611, -1.171560038121596]]",1,0,1.366819859,0
