subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190614b_3T2,2,2,2,18.026742935180664,Perc-photo,27,A man is grating cheese.,1,3,"[[0.4666666666666666, -0.09694955095301165, 1.9976488141237463], [0.9333333333333332, 1.778489396347528, -0.9148636330510715], [1.4, -1.6815398453945172, -1.0827851810726739]]",1,1,1.8503129482269287,1
FED_20190614b_3T2,2,2,2,20.02701187133789,Perc-photo,14,A man is catching a baseball.,0,4,"[[0.35, 1.4914378459149082, 0.16004109401244], [0.7, -0.8843185760216812, 1.2116025157216315], [1.0499999999999998, 1.4914378459149082, 0.16004109401244], [1.4, -0.6071192698932277, -1.3716436097340716]]",0,0,1.7335689067840576,1
FED_20190614b_3T2,2,2,2,22.02733087539673,Perc-photo,7,A man is eating a twizzler.,1,3,"[[0.4666666666666666, 1.586282924771037, -1.2180749084435833], [0.9333333333333332, -1.8480252768100665, -0.7647238562194051], [1.4, 1.586282924771037, -1.2180749084435833]]",1,1,1.7835400104522705,1
FED_20190614b_3T2,2,2,2,24.027554988861084,Perc-photo,54,A man is putting a pencil behind his ear.,0,4,"[[0.35, -0.9505397456157303, -1.1603767457187268], [0.7, -0.5296458669452687, 1.4033799398693836], [1.0499999999999998, 1.4801856125609982, -0.24300319415065796], [1.4, -0.5296458669452687, 1.4033799398693836]]",0,0,1.6835289001464844,1
FED_20190614b_3T2,2,2,2,26.027792930603027,Perc-photo,47,A man is stirring cookie batter.,1,3,"[[0.4666666666666666, 1.9538239985714516, -0.4272841941919507], [0.9333333333333332, -1.3469509660915204, -1.4784191201905905], [1.4, -0.6068730324799319, 1.9057033143825435]]",1,1,1.9170129299163818,1
FED_20190614b_3T2,2,2,2,28.0280659198761,Perc-photo,22,A man is licking a popsicle.,1,4,"[[0.35, -0.5244928466815111, 1.405313934243849], [0.7, -0.9547911440066716, -1.1568810964513299], [1.0499999999999998, -0.5244928466815111, 1.405313934243849], [1.4, -0.9547911440066716, -1.1568810964513299]]",0,0,1.8170139789581299,1
FED_20190614b_3T2,2,2,2,30.028369903564453,Perc-photo,33,A man is putting a penny in a change purse.,0,3,"[[0.4666666666666666, 0.8275131155494978, 1.8207751216428578], [0.9333333333333332, -1.990594067696165, -0.19374018079075625], [1.4, 1.163080952146667, -1.6270349408521019]]",1,1,1.8502230644226074,1
FED_20190614b_3T2,2,2,2,34.02883577346802,Perc-sent,35,A woman is stirring the soup using a ladle.,0,4,"[[0.35, 1.010234562500381, 1.1087948993071999], [0.7, 0.4551272691364544, -1.4292862445599877], [1.0499999999999998, 1.010234562500381, 1.1087948993071999], [1.4, 0.4551272691364544, -1.4292862445599877]]",0,0,1.6335370540618896,1
FED_20190614b_3T2,2,2,2,36.02906680107117,Perc-sent,1,A man is putting a cooking pot on a burner.,0,3,"[[0.4666666666666666, -0.11793236931236732, 1.9965199613999283], [0.9333333333333332, 1.7880031903912483, -0.8961275529469661], [1.4, -0.11793236931236732, 1.9965199613999283]]",1,1,1.9336590766906738,1
FED_20190614b_3T2,2,2,2,38.02936887741089,Perc-sent,56,A man is putting dirty socks into the laundry basket.,0,4,"[[0.35, 0.42242498905686643, 1.4392904948690193], [0.7, 1.0352496374536129, -1.0854760191511201], [1.0499999999999998, 0.42242498905686643, 1.4392904948690193], [1.4, -1.4576746265104803, -0.35381447571789976]]",0,0,1.800333023071289,1
FED_20190614b_3T2,2,2,2,40.02956199645996,Perc-sent,40,A woman is gluing a picture in her scrapbook.,1,3,"[[0.4666666666666666, -1.956552855412077, -0.4146093631104436], [0.9333333333333332, 1.3373386688065714, -1.487119795078617], [1.4, 0.6192141866055064, 1.9017291581890627]]",1,1,1.6836137771606445,1
FED_20190614b_3T2,2,2,2,42.029857873916626,Perc-sent,14,A man is sawing a piece of wood in half.,1,3,"[[0.4666666666666666, -0.024288078278179224, 1.9998525168755703], [0.9333333333333332, -1.7197790442974021, -1.020960351235793], [1.4, 1.7440671225755808, -0.9788921656397777]]",1,1,1.9169280529022217,1
FED_20190614b_3T2,2,2,2,44.03008794784546,Perc-sent,49,A woman is putting a parakeet into a cage.,0,4,"[[0.35, -0.06709700402808477, 1.4984985792620744], [0.7, 1.3312863391898875, -0.6911415796248899], [1.0499999999999998, -1.2641893351618032, -0.8073569996371854], [1.4, 1.3312863391898875, -0.6911415796248899]]",0,0,1.7002780437469482,1
FED_20190614b_3T2,2,2,2,46.03036379814148,Perc-sent,11,A man is vacuuming the carpet.,0,3,"[[0.4666666666666666, 1.9989613674570723, -0.06444727623531815], [0.9333333333333332, -0.9436677053040394, 1.7633749635191627], [1.4, -1.0552936621530338, -1.6989276872838464]]",1,0,1.7670300006866455,0
